currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDTWD,1,llama3-8b,0,0.2,41,0.446,"[""monetary_policy"", ""market_technical""]",2,0.7
USDTWD,1,llama3-8b,1,0.4,53,0.7,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,2,0.2,40,0.49,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,3,0.2,35,0.46,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,4,0.2,35,0.46,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,5,0.2,36,0.466,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,6,0.3,54,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,7,0.2,76,0.65,"[""risk_sentiment"", ""market_technical""]",2,0.5
USDTWD,1,llama3-8b,8,0.2,37,0.572,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,9,0.4,53,0.7,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,10,0.2,39,0.484,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,11,0.2,35,0.46,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,12,0.5,51,0.65,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,13,0.5,57,0.6,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,14,0.2,38,0.528,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,15,0.2,35,0.46,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,16,0.2,35,0.46,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,llama3-8b,17,0.4,51,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,1,llama3-8b,18,0.7,53,0.7,"[""risk_sentiment"", ""economic_growth""]",2,0.5
USDTWD,1,llama3-8b,19,0.2,34,0.454,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,qwen2.5-7b,0,0.2,36,0.466,"[""risk_sentiment"", ""market_technical""]",2,0.7
USDTWD,1,qwen2.5-7b,1,0.2,39,0.434,"[""risk_sentiment""]",1,0.7
USDTWD,1,qwen2.5-7b,2,0.2,42,0.452,"[""risk_sentiment"", ""economic_growth""]",2,0.7
USDTWD,1,qwen2.5-7b,3,0.2,39,0.584,"[""trade_balance"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDTWD,1,qwen2.5-7b,4,0.2,32,0.342,"[""risk_sentiment""]",1,0.7
USDTWD,1,qwen2.5-7b,5,0.2,40,0.49,"[""risk_sentiment""]",1,0.7
USDTWD,1,qwen2.5-7b,6,0.2,37,0.422,"[""risk_sentiment"", ""economic_growth""]",2,0.7
USDTWD,1,qwen2.5-7b,7,0.2,41,0.496,"[""risk_sentiment"", ""economic_growth""]",2,0.7
USDTWD,1,qwen2.5-7b,8,0.2,35,0.46,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.7
USDTWD,1,qwen2.5-7b,9,0.2,45,0.47,"[""risk_sentiment""]",1,0.7
USDTWD,1,qwen2.5-7b,10,0.2,44,0.514,"[""risk_sentiment""]",1,0.7
USDTWD,1,qwen2.5-7b,11,0.2,32,0.392,"[""trade_balance"", ""market_technical""]",2,0.7
