currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDEUR,5,llama3-8b,0,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,1,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,2,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,3,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",5,0.7
USDEUR,5,llama3-8b,4,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,5,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,6,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,7,0.6,59,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",5,0.5
USDEUR,5,llama3-8b,8,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,9,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,10,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,11,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,12,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,13,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,14,0.2,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,15,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,16,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,17,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,18,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,llama3-8b,19,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,qwen2.5-7b,0,0.2,34,0.504,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,1,0.2,35,0.61,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,2,0.2,33,0.498,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,3,0.2,33,0.498,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,4,0.2,33,0.548,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,5,0.2,36,0.516,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,6,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,7,0.2,35,0.61,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,8,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,9,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,10,0.2,41,0.646,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,qwen2.5-7b,11,0.2,34,0.604,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,12,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,13,0.2,32,0.592,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,14,0.2,30,0.58,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,5,qwen2.5-7b,15,0.2,29,0.574,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,16,0.2,39,0.634,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,17,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,5,qwen2.5-7b,18,0.2,29,0.574,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
