currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDSGD,10,llama3-8b,0,0.6,59,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDSGD,10,llama3-8b,1,0.7,62,0.65,"[""monetary_policy"", ""inflation"", ""risk_sentiment""]",3,0.5
USDSGD,10,llama3-8b,2,0.6,59,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDSGD,10,llama3-8b,3,0.7,71,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.5
USDSGD,10,llama3-8b,4,0.7,59,0.65,"[""monetary_policy"", ""inflation"", ""risk_sentiment""]",3,0.5
USDSGD,10,llama3-8b,5,0.7,63,0.6,"[""monetary_policy"", ""risk_sentiment""]",2,0.5
USDSGD,10,llama3-8b,6,0.7,67,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth""]",3,0.5
USDSGD,10,llama3-8b,7,0.7,59,0.65,"[""monetary_policy"", ""inflation"", ""risk_sentiment""]",3,0.5
USDSGD,10,llama3-8b,8,0.7,59,0.65,"[""monetary_policy"", ""inflation"", ""risk_sentiment""]",3,0.5
USDSGD,10,llama3-8b,9,0.7,60,0.7,"[""monetary_policy"", ""inflation"", ""risk_sentiment"", ""economic_growth""]",4,0.5
USDSGD,10,llama3-8b,10,0.6,59,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDSGD,10,llama3-8b,11,0.6,62,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.5
USDSGD,10,llama3-8b,12,0.7,56,0.6,"[""monetary_policy"", ""inflation"", ""risk_sentiment""]",3,0.5
USDSGD,10,llama3-8b,13,0.6,62,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDSGD,10,llama3-8b,14,0.6,61,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.5
USDSGD,10,llama3-8b,15,0.6,61,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.5
USDSGD,10,llama3-8b,16,0.6,61,0.7,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical""]",4,0.5
